Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,spain
2020-01-23,0,0,0,spain
2020-01-24,0,0,0,spain
2020-01-25,0,0,0,spain
2020-01-26,0,0,0,spain
2020-01-27,0,0,0,spain
2020-01-28,0,0,0,spain
2020-01-29,0,0,0,spain
2020-01-30,0,0,0,spain
2020-01-31,0,0,0,spain
2020-02-01,0,1,0,spain
2020-02-02,0,1,0,spain
2020-02-03,0,1,0,spain
2020-02-04,0,1,0,spain
2020-02-05,0,1,0,spain
2020-02-06,0,1,0,spain
2020-02-07,0,1,0,spain
2020-02-08,0,1,0,spain
2020-02-09,0,2,0,spain
2020-02-10,0,2,0,spain
2020-02-11,0,2,0,spain
2020-02-12,0,2,0,spain
2020-02-13,0,2,0,spain
2020-02-14,0,2,0,spain
2020-02-15,0,2,2,spain
2020-02-16,0,2,2,spain
2020-02-17,0,2,2,spain
2020-02-18,0,2,2,spain
2020-02-19,0,2,2,spain
2020-02-20,0,2,2,spain
2020-02-21,0,2,2,spain
2020-02-22,0,2,2,spain
2020-02-23,0,2,2,spain
2020-02-24,0,2,2,spain
2020-02-25,0,6,2,spain
2020-02-26,0,13,2,spain
2020-02-27,0,15,2,spain
2020-02-28,0,32,2,spain
2020-02-29,0,45,2,spain
2020-03-01,0,84,2,spain
2020-03-02,0,120,2,spain
2020-03-03,1,165,2,spain
2020-03-04,2,222,2,spain
2020-03-05,3,259,2,spain
2020-03-06,5,400,2,spain
2020-03-07,10,500,30,spain
2020-03-08,17,673,30,spain
2020-03-09,28,1073,32,spain
2020-03-10,35,1695,32,spain
2020-03-11,54,2277,183,spain
2020-03-12,55,2277,183,spain
2020-03-13,133,5232,193,spain
2020-03-14,195,6391,517,spain
2020-03-15,289,7798,517,spain
2020-03-16,342,9942,530,spain
2020-03-17,533,11748,1028,spain
2020-03-18,623,13910,1081,spain
2020-03-19,830,17963,1107,spain
2020-03-20,1043,20410,1588,spain
2020-03-21,1375,25374,2125,spain
2020-03-22,1772,28768,2575,spain
2020-03-23,2311,35136,2575,spain
2020-03-24,2808,39885,3794,spain
2020-03-25,3647,49515,5367,spain
2020-03-26,4365,57786,7015,spain
2020-03-27,5138,65719,9357,spain
2020-03-28,5982,73235,12285,spain
2020-03-29,6803,80110,14709,spain
2020-03-30,7716,87956,16780,spain
2020-03-31,8464,95923,19259,spain
2020-04-01,9387,104118,22647,spain
2020-04-02,10348,112065,26743,spain
2020-04-03,11198,119199,30513,spain
2020-04-04,11947,126168,34219,spain
2020-04-05,12641,131646,38080,spain
2020-04-06,13341,136675,40437,spain
2020-04-07,14045,141942,43208,spain
2020-04-08,14792,148220,48021,spain
2020-04-09,15447,153222,52165,spain
2020-04-10,16081,158273,55668,spain
